table_name,name,type,description,constraints_unique,constraints_required,constraints_tablular_required,format,one_to_many,one_to_one,enum
schedule,opens_at,string,"The time when a service or location opens. This should use HH:MM format and should include timezone information, either adding the suffix ‘Z’ when the date is in UTC, or including an offset from UTC (e.g. 09:00-05:00 for 9am EST.)",false,false,false,,,,
schedule,closes_at,string,"The time when a service or location closes. This should use HH:MM format and should include timezone information, either adding the suffix ‘Z’ when the date is in UTC, or including an offset from UTC (e.g. 09:00-05:00 for 9am EST.).",false,false,false,,,,
schedule,schedule_link,string,URL of a link for the schedule which may show each individual session and may provide a booking facility.,false,false,false,uri,,,
schedule,attending_type,string,A free text description of how to attend this service.,false,false,false,,,,
schedule,notes,string,Free text notes on the schedule.,false,false,false,,,,
schedule,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
schedule,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
funding,id,string,The identifier for the funding. Each entry must have a unique identifier.,true,true,false,uuid,,,
funding,organization_id,string,The identifier of the organization in receipt of this funding.,false,false,false,uuid,,,
funding,service_id,string,The identifier of the service in receipt of this funding.,false,false,false,uuid,,,
funding,source,string,A free text description of the source of funds for this organization or service.,false,false,false,,,,
funding,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
funding,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
service_area,id,string,The identifier for the service area. Each service area must have a unique identifier.,true,true,false,uuid,,,
service_area,service_id,string,The identifier of the service for which this entry describes the service area,false,false,false,uuid,,,
service_area,service_at_location_id,string,The identifier of the service at location object linked to this object.,false,false,false,uuid,,,
service_area,name,string,A free text geographic area where a service is available.,false,false,false,,,,
service_area,description,string,A more detailed free text description of this service area. Used to provide any additional information that cannot be communicated using the structured area and geometry fields.,false,false,false,,,,
service_area,extent,string,A definition of the polygon defining the area.,false,false,false,,,,
service_area,extent_type,string,"The format of the extent field  populated from an enum of  ""geojson"", ""topojson"",  ""kml"",and (for legacy systems or early state during transformation) ""text"".",false,false,false,,,,
service_area,uri,string,A URI which acts as a persistent identifier to identify an area.,false,false,false,,,,
service_area,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
service_area,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
required_document,id,string,The identifier for the document. Each document must have a unique identifier.,true,true,false,uuid,,,
required_document,service_id,string,The identifier of the service for which this entry describes the required document.,false,false,false,uuid,,,
required_document,document,string,A free text description of the document required to apply for or receive the service.,false,false,false,,,,
required_document,uri,string,A web link to the document.,false,false,false,uri,,,
required_document,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
required_document,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
language,id,string,The identifier for the language. Each entry must have a unique identifier.,true,true,false,uuid,,,
language,service_id,string,The identifier of the service for which the entry describes the languages in which services are delivered.,false,false,false,uuid,,,
language,location_id,string,The identifier of the location for which the entry describes the languages in which services are delivered.,false,false,false,uuid,,,
language,phone_id,string,The identifier of the phone for which the entry describes the languages in which services delivered.,false,false,false,uuid,,,
language,name,string,The name of the language in which the service is delivered.,false,false,false,,,,
language,code,string,The ISO 639-1 or ISO 639-3 code for the language.,false,false,false,,,,
language,note,string,A free text description of any additional context or services provided for this language.,false,false,false,,,,
language,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
language,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
accessibility,id,string,The identifier for this accessibility information. Each entry must have a unique identifier.,true,true,false,uuid,,,
accessibility,location_id,string,The identifier for the location of the accessibility provision.,false,false,false,uuid,,,
accessibility,description,string,A free text description of the assistance or infrastructure that facilitates access to clients with disabilities.,false,false,false,,,,
accessibility,details,string,Any further details relating to the relevant accessibility arrangements at this location.,false,false,false,,,,
accessibility,url,string,The URL of a page giving more information about the accessibility of the location.,false,false,false,uri,,,
accessibility,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
